Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
14,Donovan McNabb,WAS,34,QB,13,13,5/8/00,275,472,58.3,3377,14,3,15,3.2,152,76,7.2,6.3,12.3,259.8,77.1,47.8,37,271,6.1,5.33,7.3,2,2
15,Chad Henne,MIA,25,QB,15,14,6/8/00,301,490,61.4,3301,15,3.1,19,3.9,167,57,6.7,5.6,11,220.1,75.4,45.7,30,178,6.01,4.94,5.8,0,1
16,Mark Sanchez,NYJ,24,QB,16,16,11/5/00,278,507,54.8,3291,17,3.4,13,2.6,162,74,6.5,6,11.8,205.7,75.3,51.3,27,171,5.84,5.38,5.1,3,5
17,Jay Cutler,CHI,27,QB,15,15,10/5/00,261,432,60.4,3274,23,5.3,16,3.7,159,89,7.6,7,12.5,218.3,86.3,51.4,52,352,6.04,5.5,10.7,4,4
18,Ben Roethlisberger,PIT,28,QB,12,12,9/3/00,240,389,61.7,3200,17,4.4,5,1.3,149,56,8.2,8.5,13.3,266.7,97,67.4,32,220,7.08,7.35,7.6,2,3
19,Matt Cassel*,KAN,28,QB,15,15,10/5/00,262,450,58.2,3116,27,6,7,1.6,164,75,6.9,7.4,11.9,207.7,93,55.8,26,182,6.16,6.64,5.5,1,2
20,Michael Vick*,PHI,30,QB,12,12,8/3/00,233,372,62.6,3018,21,5.6,6,1.6,119,91,8.1,8.5,13,251.5,100.2,65,34,210,6.92,7.29,8.4,4,3
21,Matt Hasselbeck,SEA,35,QB,14,14,6/8/00,266,444,59.9,3001,12,2.7,17,3.8,137,87,6.8,5.6,11.3,214.4,73.2,52.3,29,175,5.97,4.86,6.1,0,0
22,Ryan Fitzpatrick,BUF,28,QB,13,13,4/9/00,255,441,57.8,3000,23,5.2,15,3.4,151,65,6.8,6.3,11.8,230.8,81.8,52.3,24,145,6.14,5.68,5.2,1,1
23,David Garrard,JAX,32,QB,14,14,8/6/00,236,366,64.5,2734,23,6.3,15,4.1,130,75,7.5,6.9,11.6,195.3,90.8,63.1,33,253,6.22,5.68,8.3,1,5
24,Shaun Hill,DET,30,QB,11,10,3/7/00,257,416,61.8,2686,16,3.8,12,2.9,120,75,6.5,5.9,10.5,244.2,81.3,53.2,17,113,5.94,5.43,3.9,1,0
25,Brett Favre,MIN,41,QB,13,13,5/8/00,217,358,60.6,2509,11,3.1,19,5.3,112,53,7,5.2,11.6,193,69.9,38.4,22,139,6.24,4.57,5.8,1,2
26,Jason Campbell,OAK,29,QB,13,12,7/5/00,194,329,59,2387,13,4,8,2.4,111,73,7.3,7,12.3,183.6,84.5,48.8,33,208,6.02,5.74,9.1,2,2
27,Alex Smith,SFO,26,QB,11,10,3/7/00,204,342,59.6,2370,14,4.1,10,2.9,102,62,6.9,6.4,11.6,215.5,82.1,43.8,25,140,6.08,5.61,6.8,,
28,Jon Kitna,DAL,38,QB,10,9,4/5/00,209,318,65.7,2365,16,5,12,3.8,97,71,7.4,6.7,11.3,236.5,88.9,52.9,21,100,6.68,6.03,6.2,1,2
29,Derek Anderson,ARI,27,QB,12,9,2/7/00,169,327,51.7,2065,7,2.1,10,3.1,96,43,6.3,5.4,12.2,172.1,65.9,32.7,25,176,5.37,4.49,7.1,1,1
30,Kerry Collins,TEN,38,qb,10,7,2/5/00,160,278,57.6,1823,14,5,8,2.9,90,80,6.6,6.3,11.4,182.3,82.2,55.4,13,91,5.95,5.68,4.5,1,1
31,Tony Romo,DAL,30,qb,6,6,1/5/00,148,213,69.5,1605,11,5.2,7,3.3,73,69,7.5,7.1,10.8,267.5,94.9,66.4,7,41,7.11,6.68,3.2,,
32,Colt McCoy,CLE,24,QB,8,8,2/6/00,135,222,60.8,1576,6,2.7,9,4.1,77,47,7.1,5.8,11.7,197,74.5,52.8,23,132,5.89,4.73,9.4,,
33,Jimmy Clausen,CAR,23,QB,13,10,1/9/00,157,299,52.5,1558,3,1,9,3,73,55,5.2,4.1,9.9,119.8,58.4,13.8,33,223,4.02,2.98,9.9,,
34,Vince Young,TEN,27,QB,9,8,4/4/00,93,156,59.6,1255,10,6.4,3,1.9,58,71,8,8.5,13.5,139.4,98.6,59.4,13,80,6.95,7.34,7.7,0,1
35,Kevin Kolb,PHI,26,qb,7,5,2/3/00,115,189,60.8,1197,7,3.7,7,3.7,58,83,6.3,5.4,10.4,171,76.1,44.9,15,99,5.38,4.52,7.4,,
36,Troy Smith,SFO,26,qb,6,6,3/3/00,73,145,50.3,1176,5,3.4,4,2.8,43,66,8.1,7.6,16.1,196,77.8,43.2,18,112,6.53,6.04,11,2,2
37,Bruce Gradkowski,OAK,27,,6,4,1/3/00,83,157,52.9,1059,5,3.2,7,4.5,51,70,6.7,5.4,12.8,176.5,66.3,26.3,10,77,5.88,4.59,6,,
38,Rex Grossman,WAS,30,,4,3,1/2/00,74,133,55.6,884,7,5.3,4,3,42,64,6.6,6.3,11.9,221,81.2,33,9,77,5.68,5.4,6.3,0,1
39,Jake Delhomme,CLE,35,,5,4,2/2/00,93,149,62.4,872,2,1.3,7,4.7,36,49,5.9,4,9.4,174.4,63.4,27,6,49,5.31,3.54,3.9,1,2
40,Matt Moore,CAR,26,qb,6,5,1/4/00,79,143,55.2,857,5,3.5,10,7,47,39,6,3.5,10.8,142.8,55.6,36.9,13,90,4.92,2.67,8.3,1,1
41,Drew Stanton,DET,26,,6,3,2/1/00,69,119,58,780,4,3.4,3,2.5,39,87,6.6,6.1,11.3,130,78.4,60.2,6,42,5.9,5.46,4.8,2,2
42,Seneca Wallace,CLE,30,,8,4,1/3/00,64,101,63.4,694,4,4,2,2,35,65,6.9,6.8,10.8,86.8,88.5,48.9,6,33,6.18,6.08,5.6,,
43,John Skelton,ARI,22,,5,4,2/2/00,60,126,47.6,662,2,1.6,2,1.6,31,74,5.3,4.9,11,132.4,62.3,23.6,9,65,4.42,4.05,6.7,1,1
44,Tim Tebow,DEN,23,,9,3,1/2/00,41,82,50,654,5,6.1,3,3.7,31,50,8,7.5,16,72.7,82.1,56,6,26,7.14,6.74,6.8,1,1
45,Matthew Stafford,DET,22,,3,3,1/2/00,57,96,59.4,535,6,6.3,1,1,28,36,5.6,6.4,9.4,178.3,91.3,50.1,4,36,4.99,5.74,4,1,1
46,Trent Edwards,2TM,27,,5,3,0-3-0,55,101,54.5,521,2,2,5,5,0,44,5.2,3.3,9.5,104.2,54.9,,11,95,3.8,2.15,9.8,,
47,Charlie Whitehurst,SEA,28,,6,2,1/1/00,57,99,57.6,507,2,2,3,3,22,61,5.1,4.2,8.9,84.5,65.5,21.5,5,13,4.75,3.84,4.8,,
48,Joe Webb,MIN,24,,5,2,1/1/00,54,89,60.7,477,0,0,3,3.4,26,46,5.4,3.8,8.8,95.4,60.9,47.7,8,48,4.42,3.03,8.2,,
49,Tyler Thigpen,MIA,26,,5,1,0-1-0,33,62,53.2,435,2,3.2,2,3.2,18,35,7,6.2,13.2,87,73,29.9,8,50,5.5,4.79,11.4,,
50,Matt Flynn,GNB,25,,7,1,0-1-0,40,66,60.6,433,3,4.5,2,3,21,66,6.6,6.1,10.8,61.9,82.4,25,7,38,5.41,5,9.6,,
51,Max Hall,ARI,25,,6,3,1/2/00,39,78,50,370,1,1.3,6,7.7,19,26,4.7,1.5,9.5,61.7,35.7,8.8,14,90,3.04,0.33,15.2,0,1
52,Charlie Batch,PIT,36,,3,2,1/1/00,29,49,59.2,352,3,6.1,3,6.1,13,46,7.2,5.7,12.1,117.3,76.2,53.4,4,21,6.25,4.83,7.5,,
53,Tarvaris Jackson,MIN,27,,3,1,0-1-0,34,58,58.6,341,3,5.2,4,6.9,17,46,5.9,3.8,10,113.7,63.9,27.9,6,43,4.66,2.78,9.4,,
54,Dennis Dixon,PIT,25,,2,2,2-0-0,22,32,68.8,254,0,0,1,3.1,8,52,7.9,6.5,11.5,127,79.4,21.4,5,41,5.76,4.54,13.5,0,1
55,Stephen McGee,DAL,25,,2,1,1-0-0,22,44,50,238,2,4.5,0,0,9,37,5.4,6.3,10.8,119,81.4,64.5,3,25,4.53,5.38,6.4,1,1
56,Todd Bouman,JAX,38,,1,1,0-1-0,18,34,52.9,222,2,5.9,2,5.9,12,29,6.5,5.1,12.3,222,68.5,66.1,1,6,6.17,4.74,2.9,,
57,Rusty Smith,TEN,23,,2,1,0-1-0,20,40,50,200,0,0,4,10,7,52,5,0.5,10,100,25,3.6,1,0,4.88,0.49,2.4,,
58,Brian St. Pierre,CAR,31,,1,1,0-1-0,13,28,46.4,173,1,3.6,2,7.1,3,88,6.2,3.7,13.3,173,48.7,10.9,3,23,4.84,2.58,9.7,,
59,Richard Bartel,ARI,27,,1,0,,16,28,57.1,150,0,0,1,3.6,7,31,5.4,3.8,9.4,150,57.1,29.2,2,12,4.6,3.1,6.7,,
60,Brian Hoyer,NWE,25,,5,0,,7,15,46.7,122,1,6.7,1,6.7,7,42,8.1,6.5,17.4,24.4,69.3,60,0,0,8.13,6.47,0,,
61,Luke McCown,JAX,29,,1,0,,11,19,57.9,120,0,0,0,0,6,25,6.3,6.3,10.9,120,76.6,27,0,0,6.32,6.32,0,,
62,Mark Brunell,NYJ,40,,2,0,,7,13,53.8,117,2,15.4,1,7.7,7,52,9,8.6,16.7,58.5,92,62.9,1,7,7.86,7.5,7.1,,
63,Josh Johnson,TAM,24,,11,0,,14,16,87.5,111,0,0,0,0,5,22,6.9,6.9,7.9,10.1,95.6,60.3,2,8,5.72,5.72,11.1,,
64,Brian Brohm,BUF,25,,1,1,0-1-0,10,23,43.5,106,0,0,3,13,4,33,4.6,-1.3,10.6,106,17.9,24.4,3,5,3.88,-1.31,11.5,,
65,Todd Collins,CHI,39,,2,1,1-0-0,10,27,37,68,0,0,5,18.5,3,19,2.5,-5.8,6.8,34,5.9,1.1,2,15,1.83,-5.93,6.9,,
66,David Carr,SFO,31,,1,0,,5,13,38.5,67,0,0,1,7.7,2,22,5.2,1.7,13.4,67,23.6,4.6,1,5,4.43,1.21,7.1,,
67,Caleb Hanie,CHI,25,,2,0,,5,7,71.4,55,0,0,0,0,2,26,7.9,7.9,11,27.5,94.3,9.8,2,15,4.44,4.44,22.2,,
68,Tony Pike,CAR,24,,1,0,,6,12,50,47,0,0,0,0,3,22,3.9,3.9,7.8,47,60.1,2,1,10,2.85,2.85,7.7,,
69,Byron Leftwich,PIT,30,,1,0,,5,7,71.4,42,0,0,0,0,4,14,6,6,8.4,42,86.6,54.4,2,7,3.89,3.89,22.2,,
70,Antwaan Randle El,PIT,31,,16,0,,2,2,100,42,2,100,0,0,2,39,21,41,21,2.6,158.3,100,0,0,21,41,0,,
71,Brodie Croyle,KAN,27,,2,1,0-1-0,8,19,42.1,38,0,0,1,5.3,2,16,2,-0.4,4.8,19,27.7,6.1,4,29,0.39,-1.57,17.4,,
72,Tyler Palko,KAN,27,,2,0,,4,6,66.7,35,0,0,0,0,2,18,5.8,5.8,8.8,17.5,81.9,82,2,10,3.13,3.13,25,,
73,Mohamed Massaquoi,CLE,24,WR,15,14,,1,1,100,29,1,100,0,0,1,29,29,49,29,1.9,158.3,100,0,0,29,49,0,,
74,Michael Robinson,SEA,27,,11,4,,1,1,100,28,0,0,0,0,1,28,28,28,28,2.5,118.7,100,0,0,28,28,0,,
75,Mike Scifres,SDG,30,,16,0,,1,1,100,28,0,0,0,0,1,28,28,28,28,1.8,118.7,100,0,0,28,28,0,,
76,Kyle Boller,OAK,29,,5,0,,2,4,50,25,0,0,1,25,1,20,6.3,-5,12.5,5,30.2,0.3,1,6,3.8,-5.2,20,,
77,Levi Brown,BUF,23,,1,0,,2,3,66.7,24,0,0,1,33.3,1,16,8,-7,12,24,51.4,35.5,0,0,8,-7,0,,
78,Chris Redman,ATL,33,,2,0,,4,6,66.7,20,0,0,0,0,1,14,3.3,3.3,5,10,71.5,26.8,0,0,3.33,3.33,0,,
79,Josh Cribbs,CLE,27,WR,15,5,,2,3,66.7,19,0,0,0,0,2,10,6.3,6.3,9.5,1.3,84,,1,0,4.75,4.75,25,,
80,Chad Pennington,MIA,34,,1,1,1-0-0,1,2,50,19,0,0,0,0,1,19,9.5,9.5,19,19,83.3,94.1,0,0,9.5,9.5,0,,
81,Jordan Palmer,CIN,26,,1,0,,3,3,100,18,0,0,0,0,1,7,6,6,6,18,91.7,15.1,2,20,-0.4,-0.4,40,,
82,Steve Breaston,ARI,27,WR,13,11,,1,2,50,17,0,0,0,0,1,17,8.5,8.5,17,1.3,79.2,73.1,0,0,8.5,8.5,0,,
83,Chase Daniel,NOR,24,,13,0,,2,3,66.7,16,0,0,0,0,0,9,5.3,5.3,8,1.2,79.9,0.8,1,10,1.5,1.5,25,,
84,Peyton Hillis,CLE,24,RB,16,14,,1,2,50,13,0,0,0,0,1,13,6.5,6.5,13,0.8,70.8,92.8,0,0,6.5,6.5,0,,
85,Sam Koch,BAL,28,,16,0,,1,1,100,13,0,0,0,0,1,13,13,13,13,0.8,118.7,100,0,0,13,13,0,,
86,Billy Volek,SDG,34,,3,0,,1,1,100,8,0,0,0,0,1,8,8,8,8,2.7,100,89.3,0,0,8,8,0,,
87,Kellen Clemens,NYJ,27,,1,0,,1,2,50,6,0,0,0,0,1,6,3,3,6,6,56.2,100,0,0,3,3,0,,
88,Brad Smith,NYJ,27,,16,2,,2,3,66.7,6,1,33.3,0,0,1,3,2,8.7,3,0.4,109.7,88.4,0,0,2,8.67,0,,
89,Earnest Graham,TAM,30,rb,12,7,,1,1,100,2,1,100,0,0,1,2,2,22,2,0.2,118.7,99.9,0,0,2,22,0,,
90,Marion Barber III,DAL,27,RB,13,10,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,4.6,0,0,0,0,0,,
91,Jahvid Best,DET,21,RB,16,9,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,2.6,0,0,0,0,0,,
92,Ronnie Brown,MIA,29,RB,16,16,,0,2,0,0,0,0,0,0,0,0,0,0,,0,39.6,11.4,0,0,0,0,0,,
93,Patrick Crayton,SDG,31,,9,2,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,1,0,0,0,0,0,,
94,Armanti Edwards,CAR,22,,3,0,,1,1,100,0,0,0,0,0,0,0,0,0,0,0,79.2,68.5,0,0,0,0,0,,
95,Chad Johnson,CIN,32,WR,14,12,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,4.7,0,0,0,0,0,,
96,Maurice Jones-Drew*,JAX,25,RB,14,14,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,0,-45,0,,
97,Brandon LaFell,CAR,24,,14,2,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,99.9,0,0,0,0,0,,
98,Stefan Logan,DET,29,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,4.7,0,0,0,0,0,,
99,Brandon Marshall,MIA,26,WR,14,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0.9,0,0,0,0,0,,
100,Darren McFadden,OAK,23,RB,13,13,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,51.7,0,0,0,0,0,,
101,Micheal Spurlock,TAM,27,,16,1,,0,3,0,0,0,0,0,0,0,0,0,0,,0,39.6,6.7,0,0,0,0,0,,
102,Anquan Boldin,BAL,30,WR,16,16,,1,1,100,-6,0,0,0,0,0,-6,-6,-6,-6,-0.4,79.2,15.7,0,0,-6,-6,0,,
