Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
20,Mitchell Trubisky*,CHI,24,QB,14,14,11/3/00,289,434,66.6,3223,24,5.5,12,2.8,163,70,7.4,7.3,11.2,230.2,95.4,71,24,143,6.72,6.59,5.2,1,2
21,Carson Wentz,PHI,26,QB,11,11,5/6/00,279,401,69.6,3074,21,5.2,7,1.7,159,58,7.7,7.9,11,279.5,102.2,62,31,202,6.65,6.89,7.2,2,2
22,Jameis Winston,TAM,24,QB,11,9,3/6/00,244,378,64.6,2992,19,5,14,3.7,152,64,7.9,7.3,12.3,272,90.2,66.2,27,157,7,6.38,6.7,0,1
23,Sam Darnold,NYJ,21,QB,13,13,4/9/00,239,414,57.7,2865,17,4.1,15,3.6,130,76,6.9,6.1,12,220.4,77.6,45.9,30,204,5.99,5.24,6.8,1,1
24,Blake Bortles,JAX,26,QB,13,12,3/9/00,243,403,60.3,2718,13,3.2,11,2.7,126,80,6.7,6.2,11.2,209.1,79.8,43.4,31,173,5.86,5.32,7.1,0,1
25,Andy Dalton,CIN,31,QB,11,11,5/6/00,226,365,61.9,2566,21,5.8,11,3,132,49,7,6.8,11.4,233.3,89.6,59.4,21,157,6.24,6.05,5.4,3,4
26,Marcus Mariota,TEN,25,QB,14,13,7/6/00,228,331,68.9,2528,11,3.3,8,2.4,121,61,7.6,7.2,11.1,180.6,92.3,53.2,42,243,6.13,5.75,11.3,2,3
27,Joe Flacco,BAL,33,QB,9,9,4/5/00,232,379,61.2,2465,12,3.2,6,1.6,119,71,6.5,6.4,10.6,273.9,84.2,54.8,16,79,6.04,5.96,4.1,,
28,Ryan Fitzpatrick,TAM,36,qb,8,7,2/5/00,164,246,66.7,2366,17,6.9,12,4.9,113,75,9.6,8.8,14.4,295.8,100.4,61,14,76,8.81,8.04,5.4,,
29,Josh Rosen,ARI,21,QB,14,13,3/10/00,217,393,55.2,2278,11,2.8,14,3.6,112,75,5.8,4.8,10.5,162.7,66.7,24.1,45,320,4.47,3.53,10.3,1,2
30,Nick Mullens,SFO,23,QB,8,8,3/5/00,176,274,64.2,2277,13,4.7,10,3.6,106,85,8.3,7.6,12.9,284.6,90.8,51.7,17,127,7.39,6.74,5.8,0,1
31,Alex Smith,WAS,34,QB,10,10,6/4/00,205,328,62.5,2180,10,3,5,1.5,106,52,6.6,6.6,10.6,218,85.7,46.9,22,121,5.88,5.81,6.3,,
32,Josh Allen,BUF,22,QB,12,11,5/6/00,169,320,52.8,2074,10,3.1,12,3.8,89,75,6.5,5.4,12.3,172.8,67.9,49.8,28,213,5.35,4.37,8,2,3
33,Ryan Tannehill,MIA,30,QB,11,11,5/6/00,176,274,64.2,1979,17,6.2,9,3.3,92,75,7.2,7,11.2,179.9,92.7,33.2,35,279,5.5,5.29,11.3,3,3
34,Nick Foles,PHI,29,qb,5,5,4/1/00,141,195,72.3,1413,7,3.6,4,2.1,87,83,7.2,7,10,282.6,96,65.4,9,47,6.7,6.5,4.4,2,2
35,C.J. Beathard,SFO,25,qb,6,5,0-5-0,102,169,60.4,1252,8,4.7,7,4.1,60,82,7.4,6.5,12.3,208.7,81.8,41.5,18,156,5.86,5.03,9.6,,
36,Brock Osweiler,MIA,28,qb,7,5,2/3/00,113,178,63.5,1247,6,3.4,4,2.2,58,75,7,6.7,11,178.1,86,34.5,17,130,5.73,5.42,8.7,1,1
37,Lamar Jackson,BAL,21,qb,16,7,6/1/00,99,170,58.2,1201,6,3.5,3,1.8,67,74,7.1,7,12.1,75.1,84.5,42.6,16,71,6.08,5.99,8.6,0,1
38,Jeff Driskel,CIN,25,qb,9,5,1/4/00,105,176,59.7,1003,6,3.4,2,1.1,50,37,5.7,5.9,9.6,111.4,82.2,29.7,16,122,4.59,4.74,8.3,,
39,Jimmy Garoppolo,SFO,27,,3,3,1/2/00,53,89,59.6,718,5,5.6,3,3.4,35,56,8.1,7.7,13.5,239.3,90,27.5,13,97,6.09,5.75,12.7,,
40,Cody Kessler,JAX,25,,5,4,2/2/00,85,131,64.9,709,2,1.5,2,1.5,35,35,5.4,5,8.3,141.8,77.4,25.9,22,149,3.66,3.33,14.4,,
41,Blaine Gabbert,TEN,29,,8,3,2/1/00,61,101,60.4,626,4,4,4,4,32,35,6.2,5.2,10.3,78.3,74.9,27,5,37,5.56,4.61,4.7,2,2
42,Josh Johnson,WAS,32,,4,3,1/2/00,52,91,57.1,590,3,3.3,4,4.4,29,79,6.5,5.2,11.3,147.5,69.4,47.4,9,67,5.23,4.03,9,1,1
43,Josh McCown,NYJ,39,,4,3,0-3-0,60,110,54.5,539,1,0.9,4,3.6,27,41,4.9,3.4,9,134.8,55.8,33.8,7,35,4.31,2.94,6,,
44,Chase Daniel,CHI,32,,5,2,1/1/00,53,76,69.7,515,3,3.9,2,2.6,23,46,6.8,6.4,9.7,103,90.6,27.5,9,40,5.59,5.24,10.6,1,0
45,Tyrod Taylor,CLE,29,,4,3,1/1/01,42,85,49.4,473,2,2.4,2,2.4,17,47,5.6,5,11.3,118.3,64.5,27,13,81,4,3.49,13.3,1,0
46,Derek Anderson,BUF,35,,2,2,0-2-0,42,70,60,465,0,0,4,5.7,22,40,6.6,4.1,11.1,232.5,56,26.6,5,33,5.76,3.36,6.7,,
47,Sam Bradford,ARI,31,,3,3,0-3-0,50,80,62.5,400,2,2.5,4,5,16,35,5,3.3,8,133.3,62.5,27.9,6,33,4.27,2.64,7,,
48,Colt McCoy,WAS,32,,3,2,0-2-0,34,54,63,372,3,5.6,3,5.6,17,53,6.9,5.5,10.9,124,78.6,38.8,6,36,5.6,4.35,10,,
49,Taylor Heinicke,CAR,25,,6,1,0-1-0,35,57,61.4,320,1,1.8,3,5.3,19,33,5.6,3.6,9.1,53.3,60.6,18.3,2,17,5.14,3.19,3.4,,
50,Nathan Peterman,BUF,24,,4,2,0-2-0,44,81,54.3,296,1,1.2,7,8.6,13,26,3.7,0,6.7,74,30.7,8,7,34,2.98,-0.38,8,,
51,Kyle Allen,CAR,22,,2,1,1-0-0,20,31,64.5,266,2,6.5,0,0,11,53,8.6,9.9,13.3,133,113.1,95.2,0,0,8.58,9.87,0,,
52,Matt Barkley,BUF,28,,1,1,1-0-0,15,25,60,232,2,8,0,0,12,47,9.3,10.9,15.5,232,117.4,85.8,1,8,8.62,10.15,3.8,,
53,DeShone Kizer,GNB,22,,3,0,,20,42,47.6,187,0,0,2,4.8,8,29,4.5,2.3,9.4,62.3,40.5,25.5,4,38,3.24,1.28,8.7,,
54,Mike Glennon,ARI,29,,2,0,,15,21,71.4,174,1,4.8,0,0,8,26,8.3,9.2,11.6,87,112,75,1,8,7.55,8.45,4.5,,
55,Mark Sanchez,WAS,32,,2,1,0-1-0,19,35,54.3,138,0,0,3,8.6,3,20,3.9,0.1,7.3,69,28,4.5,7,42,2.29,-0.93,16.7,,
56,Teddy Bridgewater,NOR,26,,5,1,0-1-0,14,23,60.9,118,1,4.3,1,4.3,8,18,5.1,4,8.4,23.6,70.6,31.3,2,8,4.4,3.4,8,,
57,Odell Beckham Jr.,NYG,26,WR,12,12,,2,2,100,106,2,100,0,0,2,57,53,73,53,8.8,158.3,100,0,0,53,73,0,,
58,Kevin Byard,TEN,25,FS,16,16,,1,1,100,66,1,100,0,0,1,66,66,86,66,4.1,158.3,,0,0,66,86,0,,
59,Taysom Hill,NOR,28,,16,4,,3,7,42.9,64,0,0,1,14.3,3,44,9.1,2.7,21.3,4,36.3,40.9,1,3,7.63,2,12.5,,
60,Jarvis Landry*,CLE,26,WR,16,14,,1,2,50,63,0,0,0,0,1,63,31.5,31.5,63,3.9,95.8,100,0,0,31.5,31.5,0,,
61,Matt Cassel,DET,36,,2,0,,7,17,41.2,59,0,0,1,5.9,2,11,3.5,0.8,8.4,29.5,26.3,9.6,1,13,2.56,0.06,5.6,,
62,Albert Wilson,MIA,26,,7,3,,1,1,100,52,1,100,0,0,1,52,52,72,52,7.4,158.3,99.6,0,0,52,72,0,,
63,Christian McCaffrey,CAR,22,RB,16,16,,1,1,100,50,1,100,0,0,1,50,50,70,50,3.1,158.3,100,0,0,50,70,0,,
64,Joshua Dobbs,PIT,23,,5,0,,6,12,50,43,0,0,1,8.3,2,22,3.6,-0.2,7.2,8.6,24,51,0,0,3.58,-0.17,0,,
65,Julian Edelman,NWE,32,WR,12,12,,2,2,100,43,0,0,0,0,1,37,21.5,21.5,21.5,3.6,118.7,93.9,0,0,21.5,21.5,0,,
66,Garrett Gilbert,CAR,27,,1,0,,2,3,66.7,40,0,0,0,0,1,31,13.3,13.3,20,40,109.7,40.4,1,5,8.75,8.75,25,,
67,Larry Fitzgerald,ARI,35,WR,16,16,,1,1,100,32,1,100,0,0,1,32,32,52,32,2,158.3,100,0,0,32,52,0,,
68,Chad Henne,KAN,33,,1,0,,2,3,66.7,29,0,0,0,0,2,22,9.7,9.7,14.5,29,97.9,69.6,0,0,9.67,9.67,0,,
69,Danny Amendola,MIA,33,WR,15,15,,1,1,100,28,1,100,0,0,1,28,28,48,28,1.9,158.3,100,0,0,28,48,0,,
70,Emmanuel Sanders,DEN,31,WR,12,12,,1,1,100,28,1,100,0,0,1,28,28,48,28,2.3,158.3,100,0,0,28,48,0,,
71,Sean Mannion,LAR,26,,3,0,,2,3,66.7,23,0,0,0,0,1,18,7.7,7.7,11.5,7.7,89.6,5.8,0,0,7.67,7.67,0,,
72,Nate Sudfeld,PHI,25,,2,0,,1,2,50,22,1,50,0,0,1,22,11,21,22,11,129.2,28.9,0,0,11,21,0,0,0
73,Robert Griffin III,BAL,28,,3,0,,2,6,33.3,21,0,0,0,0,1,14,3.5,3.5,10.5,7,44.4,2,0,0,3.5,3.5,0,,
74,Darius Jennings,TEN,26,,16,0,,1,1,100,21,0,0,0,0,1,21,21,21,21,1.3,118.7,99.9,0,0,21,21,0,,
75,Sam Koch,BAL,36,,16,0,,1,1,100,21,0,0,0,0,1,21,21,21,21,1.3,118.7,10.7,0,0,21,21,0,,
76,Matt Schaub,ATL,37,,3,0,,5,7,71.4,20,0,0,0,0,1,9,2.9,2.9,4,6.7,74.1,63.2,0,0,2.86,2.86,0,,
77,Johnny Hekker,LAR,28,,16,0,,2,4,50,19,0,0,0,0,3,12,4.8,4.8,9.5,1.2,63.5,,0,0,4.75,4.75,0,,
78,Nelson Agholor,PHI,25,WR,16,16,,1,1,100,15,0,0,0,0,1,15,15,15,15,0.9,118.7,100,0,0,15,15,0,,
79,Logan Thomas,BUF,27,,12,3,,1,1,100,15,0,0,0,0,1,15,15,15,15,1.3,118.7,,0,0,15,15,0,,
80,Derrick Henry,TEN,24,RB,16,12,,2,3,66.7,14,0,0,0,0,1,8,4.7,4.7,7,0.9,77.1,58.2,0,0,4.67,4.67,0,,
81,Colby Wadman,DEN,23,,12,0,,1,1,100,12,0,0,0,0,1,12,12,12,12,1,116.7,,0,0,12,12,0,,
82,A.J. McCarron,OAK,28,,2,0,,1,3,33.3,8,0,0,0,0,0,8,2.7,2.7,8,4,42.4,0.4,1,7,0.25,0.25,25,,
83,Anthony Miller,CHI,24,,15,4,,1,1,100,8,0,0,0,0,1,8,8,8,8,0.5,100,82.3,0,0,8,8,0,,
84,Matt Prater,DET,34,,16,0,,1,1,100,8,1,100,0,0,1,8,8,28,8,0.5,139.6,,0,0,8,28,0,,
85,Geno Smith,LAC,28,,5,0,,1,4,25,8,0,0,0,0,0,8,2,2,8,1.6,39.6,0.7,1,16,-1.6,-1.6,20,,
86,Brian Hoyer,NWE,33,,5,0,,1,2,50,7,0,0,0,0,0,7,3.5,3.5,7,1.4,58.3,0.5,0,0,3.5,3.5,0,,
87,Tress Way,WAS,28,,16,0,,1,1,100,7,0,0,0,0,1,7,7,7,7,0.4,95.8,,0,0,7,7,0,,
88,Mohamed Sanu,ATL,29,WR,16,16,,1,2,50,5,1,50,0,0,1,5,2.5,12.5,5,0.3,95.8,32.3,0,0,2.5,12.5,0,,
89,Logan Cooke,JAX,23,,16,0,,1,1,100,4,0,0,0,0,1,4,4,4,4,0.3,83.3,,0,0,4,4,0,,
90,Kenny Stills,MIA,26,WR,15,15,,1,1,100,3,1,100,0,0,1,3,3,23,3,0.2,118.7,100,0,0,3,23,0,,
91,Chris Boswell,PIT,27,,15,0,,1,1,100,2,1,100,0,0,1,2,2,22,2,0.1,118.7,,0,0,2,22,0,,
92,Jacoby Brissett,IND,26,,4,0,,2,4,50,2,0,0,0,0,1,4,0.5,0.5,1,0.5,56.2,100,0,0,0.5,0.5,0,,
93,Tarik Cohen*+,CHI,23,RB,16,7,,1,1,100,1,1,100,0,0,1,1,1,21,1,0.1,118.7,100,0,0,1,21,0,,
94,Bryan Anger,TAM,30,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
95,Cole Beasley,DAL,29,,16,4,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,28.6,0,0,0,0,0,,
96,Corey Bojorquez,BUF,22,,8,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
97,Tyler Boyd,CIN,24,WR,14,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,3.5,0,0,0,0,0,,
98,Antonio Brown*,PIT,30,WR,15,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,2.7,0,0,0,0,0,,
99,Eric Ebron*,IND,25,TE,16,8,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,0,,
100,Bruce Ellington,2TM,27,,7,3,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
101,Dontrell Hilliard,CLE,23,,11,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,0,-45,0,,
102,DeAndre Hopkins*+,HOU,26,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,3.7,0,0,0,0,0,,
103,Zay Jones,BUF,23,WR,16,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,0,,
104,Kyle Lauletta,NYG,23,,2,0,,0,5,0,0,0,0,1,20,0,0,0,-9,,0,0,0.1,0,0,0,-9,0,,
105,JK Scott,GNB,23,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,,0,0,0,0,0,,
106,Dede Westbrook,JAX,25,wr,16,9,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,9.1,0,0,0,0,0,,
